time	y
1	-0.0041
2	-0.0089
3	-0.0067
4	-0.0068
5	-0.0055
6	-0.0061
7	0.0109
8	0.0172
9	0.0039
10	-0.0025
11	0.0077
12	0.0001
13	-0.0055
14	-0.0017
15	-0.0127
16	-0.0044
17	0.0093
18	-0.0003
19	-0.0081
20	-0.0021
21	-0.0046
22	-0.0005
23	0.0188
24	0.0064
25	-0.0066
26	-0.0143
27	0.0055
28	0.004
29	0.0106
30	0.0002
31	0.0099
32	0.0124
33	0.0012
34	-0.0168
35	0.0251
36	-0.0103
37	0.0094
38	0.0162
39	-0.0115
40	-0.0042
41	-0.0042
42	0.0032
43	0.0024
44	0.0028
45	-0.0046
46	-0.009
47	-0.0021
48	0.0112
49	-0.0042
50	-0.0114
51	0.015
52	-0.0121
53	-0.0125
54	-0.007
55	0.0004
56	-0.0175
57	-0.0064
58	0.0063
59	-0.0028
60	0.0041
61	-0.0134
62	0.0078
63	-0.0086
64	-0.0202
65	-0.0144
66	-0.0044
67	-0.0554
68	0.0104
69	-0.0563
70	-0.0691
71	0.0644
72	-0.0013
73	-0.0508
74	-0.0617
75	0.0039
76	-0.0722
77	0.0039
78	0.0786
79	-0.0119
80	-0.0338
81	-0.0125
82	0.0106
83	-0.0336
84	-0.0795
85	0.0534
86	0.0262
87	0.0501
88	-0.0199
89	0.0068
90	-0.0284
91	-0.0312
92	0.015
93	0.029
94	0.0185
95	-0.0117
96	-0.0088
97	-0.012
98	-0.0199
99	-0.0114
100	-0.0318
101	-0.0279
102	0.0214
103	-0.0078
104	0.0219
105	-0.0279
106	0.0295
107	0.0203
108	0.0223
109	-0.0088
110	-0.0161
111	0.0252
112	-0.0108
113	0.0191
114	-0.0163
115	-0.0241
116	0.0038
117	0.0003
118	-0.0229
119	0.0327
120	0.0146
121	-0.0074
122	0.0052
123	-0.0376
124	0.0104
125	-0.0299
126	-0.0019
127	0.0014
128	0.0331
129	-0.0339
130	-0.0285
131	-0.0334
132	0.0171
133	-0.0153
134	0.0044
135	-0.0085
136	-0.003
137	-0.0087
138	0.0026
139	0.0128
140	0.037
141	0.0179
142	0.0117
143	0.0204
144	-0.0241
145	0.0177
146	0.0272
147	0.0117
148	0.0123
149	0.0085
150	-0.0033
151	0.0271
152	0.0063
153	0.0274
154	-0.0012
155	-0.0169
156	0.0135
157	-0.0021
158	0.0086
159	0.0062
160	-0.0211
161	-0.016
162	-0.0077
163	0.0004
164	-0.0057
165	0.0099
166	0.0072
167	-0.0253
168	0.0015
169	-0.0026
170	-0.0006
171	0.0059
172	0.014
173	0.0003
174	-0.0295
175	-0.0021
176	0.013
177	-0.0184
178	-0.0196
179	-0.0009
180	0.0092
181	-0.0178
182	0.0017
183	0.0053
184	0.0172
185	-0.0055
186	0.0254
187	0.0098
188	0.0255
189	0.0128
190	-0.0321
191	0.0259
192	-0.0059
193	-0.0059
194	0.0064
195	0.0238
196	-0.018
197	0.0171
198	0.0129
199	0.0049
200	-0.0054
201	-0.01
202	0.0029
203	0.0087
204	0.0032
205	-0.0162
206	0.0134
207	-0.0041
208	0
209	-0.0226
210	0.0018
211	0.0054
212	-0.0002
213	-0.0092
214	0.0134
215	0.015
216	0.014
217	0.0203
218	0.0073
219	0.0167
220	0.0196
221	0.0272
222	-0.0126
223	-0.0136
224	0.012
225	0.0119
226	-0.0073
227	0.0388
228	-0.0124
229	-0.0179
230	0.0054
231	0.0178
232	-0.0112
233	-0.0248
234	0.011
235	-0.0057
236	0.0131
237	0.0151
238	0.0152
239	0.0081
240	-0.0133
241	0.0056
242	0.0058
243	0.0037
244	0.0115
245	0.0092
246	0.0142
247	0.0004
248	0.0041
249	-0.0121
250	-0.0175
251	-0.0217
252	0.0016
253	0.0071
254	-0.0343
255	0.0038
256	0.0169
257	-0.0007
258	-0.0012
259	0.0087
260	0.0033
261	-0.0055
262	0.0068
263	0.0124
264	0.0023
265	-0.0021
266	-0.0017
267	-0.0021
268	-0.004
269	0.0026
270	-0.0099
271	-0.0176
272	0.0078
273	-0.0066
274	0.0078
275	0.0023
276	0.0018
277	0.0018
278	-0.0092
279	0.0059
280	0.0066
281	-0.0216
282	-0.0035
283	0.0056
284	0.0032
285	-0.0017
286	-0.0098
287	0.0161
288	-0.007
289	0.0056
290	0.0089
291	-0.0067
292	0.0046
293	0.0146
294	0.0256
295	0.0023
296	0.0033
297	0.0027
298	-0.0067
299	0.0117
300	0.0152
301	0.0016
302	0.0055
303	0.0025
304	-0.0124
305	0.0114
306	0.0072
307	0.0011
308	0.002
309	0.0091
310	-0.0019
311	0.0064
312	0.005
313	-0.0333
314	0.0049
315	0.0138
316	0.0064
317	0.0237
318	-0.0297
319	0.0155
320	0
321	0.0041
322	0.0049
323	0.0025
324	0.0043
325	0.0033
326	0.0118
327	0.0053
328	-0.0019
329	0.0022
330	-0.0136
331	0.0076
332	0.0002
333	-0.0046
334	-0.0196
335	0.0063
336	0.006
337	-0.0117
338	0.0095
339	-0.0068
340	-0.0053
341	0.008
342	0.008
343	0.0038
344	-0.0106
345	-0.0043
346	0.0032
347	0.0075
348	-0.0091
349	-0.0012
350	0.0019
351	0.0061
352	0.0021
353	0.0114
354	0.0041
355	-0.0086
356	-0.004
357	0.0002
358	-0.0085
359	0.0051
360	0.0029
