position y
1564000 -0.061556
1565300 0.0055556
1566700 0.6215
1567300 0.34178
1567700 0.16056
1567900 0.16933
1568800 0.48922
1571300 -0.22867
1572600 0.081
1573600 0.33383
1573700 -0.0071111
1574900 0.10967
1576400 -1.2267
1576700 0.38744
1579900 0.79222
1583600 0.21967
1587000 0.4795
1588700 0.13367
1589400 -0.097
1592700 0.311
1595100 0.35583
1595700 -0.11917
1595800 0.26378
1596500 -0.17083
1597200 0.61967
1598700 1.5016
1599100 2.6453
1599400 2.7149
1599600 2.5148
1600500 0.84756
1600900 1.1831
1600900 1.0592
1601700 1.9197
1603000 0.25767
1608400 1.2757
1609200 1.1944
1609700 1.2399
1610500 1.3112
1612400 2.049
1614700 1.2568
1615000 1.0045
1616000 1.7137
1616700 1.3006
1617200 1.2928
1619600 1.5243
1622500 1.2438
1622700 1.2116
1623300 1.3097
1623500 1.0502
1624800 0.41733
1625700 1.6727
1627200 1.1146
1627700 1.2337
1628500 1.2921
1629900 0.65733
1631200 1.3049
1631700 1.0178
1631900 1.2991
1632400 1.1536
1634700 1.391
1635900 1.933
1636700 1.3583
1637900 1.2568
1639600 1.03
1639700 1.4112
1640500 1.3357
1640700 1.2216
1641500 1.1868
1641600 1.2591
1644700 1.162
1645100 1.7463
1647700 1.4338
1649400 1.5453
1649600 1.7214
1649800 2.1152
1652400 1.287
1652700 1.5563
1654000 1.3636
1655500 1.1984
1655700 0.60767
1656400 1.2054
1656600 1.355
1656800 0.66611
1658900 1.2031
1659700 1.2846
1660500 1.8012
1660900 1.2043
1662400 2.0486
1666800 2.2984
1667000 2.7305
1672300 1.9388
1674300 2.1087
1674400 2.1948
