time	y
1	122.8939
2	123.0236
3	121.5864
4	129.7866
5	125.693
6	126.8112
7	123.9285
8	127.2408
9	127.2621
10	126.968
11	126.4325
12	126.617
13	127.5889
14	125.7362
15	125.4107
16	125.1711
17	125.1711
18	127.6755
19	124.9332
20	123.7095
21	130.6361
22	125.5203
23	127.5381
24	128.8722
25	122.0054
26	127.0066
27	126.1491
28	125.997
29	123.6568
30	122.2212
31	126.7062
32	123.1916
33	130.469
34	127.9593
35	129.4969
36	127.8718
37	127.5296
38	130.9233
39	130.2211
40	124.8875
41	125.6513
42	122.7231
43	128.1341
44	125.3209
45	121.5864
46	126.9022
47	125.3651
48	128.1992
49	125.6502
50	128.4931
51	126.8149
52	129.7587
53	123.8497
54	126.7703
55	126.5529
56	128.6463
57	124.8115
58	124.3556
59	126.1491
60	127.596
61	129.2091
62	125.1846
63	125.1897
64	125.8006
65	128.9511
66	125.6264
67	126.0201
68	127.1593
69	126.4433
70	127.1529
71	127.0538
72	126.6631
73	127.4246
74	126.5093
75	127.7848
76	129.8693
77	128.8417
78	125.6073
79	127.1207
80	128.7766
81	127.207
82	126.002
83	123.8329
84	123.8329
85	124.8939
86	121.1424
87	121.4278
88	121.4278
89	124.3343
90	125.3511
91	129.4568
92	125.8416
93	127.6222
94	131.6141
95	131.5272
96	136.1175
97	133.5281
98	136.2844
99	131.6128
100	134.1245
101	133.2594
102	135.2978
103	129.2349
104	136.3916
105	131.282
106	135.1665
107	133.754
108	128.9738
109	132.1402
110	133.7293
111	133.8459
112	135.903
113	135.6673
114	137.1047
115	133.0506
116	133.2887
117	140.4085
118	133.3445
119	135.6907
120	133.3557
121	134.5128
122	138.6646
123	136.203
124	132.9095
125	133.6078
126	135.989
127	135.149
128	137.9053
129	133.7033
130	136.1236
131	138.5916
132	135.6811
133	131.6853
134	135.2623
135	133.8237
136	130.6891
137	139.4477
138	133.8864
139	135.8634
140	132.5315
141	130.9319
142	137.7483
143	135.0529
144	136.8734
145	134.3072
146	133.5511
147	137.8827
148	136.4487
149	133.4639
150	135.8305
151	133.1502
152	134.2251
153	136.1515
154	135.5741
155	137.5453
156	131.7487
157	136.187
158	128.2224
159	134.897
160	134.897
161	138.7725
162	128.7193
163	135.1042
164	136.0841
165	132.3316
166	134.42
167	128.8928
168	138.4659
169	132.4002
170	135.4156
171	135.9083
172	138.4797
173	137.9798
174	137.6568
175	137.1452
176	135.7446
177	135.5741
178	135.5226
179	133.6666
180	140.3857
181	134.4423
182	136.2504
183	132.7099
184	134.8378
185	135.9201
186	134.8581
